지역명,날짜,매매지수
종로구,2020-05-25 00:00:52,85.38921591
서울 중구,2020-05-25 00:00:52,81.21142548
용산구,2020-05-25 00:00:52,80.54350201
성동구,2020-05-25 00:00:52,80.57938172
광진구,2020-05-25 00:00:52,82.4472341
동대문구,2020-05-25 00:00:52,78.92898829
중랑구,2020-05-25 00:00:52,77.666439
성북구,2020-05-25 00:00:52,77.09042021
강북구,2020-05-25 00:00:52,74.58815594
도봉구,2020-05-25 00:00:52,73.15521249
노원구,2020-05-25 00:00:52,68.30550777
은평구,2020-05-25 00:00:52,76.84154485
서대문구,2020-05-25 00:00:52,82.02366449
마포구,2020-05-25 00:00:52,78.00616968
양천구,2020-05-25 00:00:52,80.20731216
서울 강서구,2020-05-25 00:00:52,75.15423337
구로구,2020-05-25 00:00:52,74.97689826
금천구,2020-05-25 00:00:52,80.67008488
영등포구,2020-05-25 00:00:52,78.84881359
동작구,2020-05-25 00:00:52,77.56665272
관악구,2020-05-25 00:00:52,80.54897099
서초구,2020-05-25 00:00:52,80.449735
강남구,2020-05-25 00:00:52,81.44344229
송파구,2020-05-25 00:00:52,78.25391149
강동구,2020-05-25 00:00:52,80.5775712
부산 중구,2020-05-25 00:00:52,97.13688561
부산 서구,2020-05-25 00:00:52,92.47190796
부산 동구,2020-05-25 00:00:52,89.99757525
영도구,2020-05-25 00:00:52,86.2523039
부산진구,2020-05-25 00:00:52,81.34735241
동래구,2020-05-25 00:00:52,79.27375422
부산 남구,2020-05-25 00:00:52,78.2254971
부산 북구,2020-05-25 00:00:52,83.31539223
해운대구,2020-05-25 00:00:52,65.42361329
사하구,2020-05-25 00:00:52,83.00759005
금정구,2020-05-25 00:00:52,80.27786035
부산 강서구,2020-05-25 00:00:52,79.85074627
연제구,2020-05-25 00:00:52,79.88789453
수영구,2020-05-25 00:00:52,74.6754475
사상구,2020-05-25 00:00:52,88.38731793
기장군,2020-05-25 00:00:52,77.41757194
대구 중구,2020-05-25 00:00:52,84.33204286
대구 동구,2020-05-25 00:00:52,88.93532516
대구 서구,2020-05-25 00:00:52,86.95758091
대구 남구,2020-05-25 00:00:52,85.44147448
대구 북구,2020-05-25 00:00:52,88.42008473
수성구,2020-05-25 00:00:52,81.19962252
달서구,2020-05-25 00:00:52,77.71372363
달성군,2020-05-25 00:00:52,88.43701055
인천 중구,2020-05-25 00:00:52,79.29618196
인천 동구,2020-05-25 00:00:52,77.31132214
미추홀구,2020-05-25 00:00:52,80.61600105
연수구,2020-05-25 00:00:52,64.08646821
남동구,2020-05-25 00:00:52,74.17871775
부평구,2020-05-25 00:00:52,71.53570514
계양구,2020-05-25 00:00:52,71.09826505
인천 서구,2020-05-25 00:00:52,71.64358944
강화군,2020-05-25 00:00:52,
광주 동구,2020-05-25 00:00:52,94.90619095
광주 서구,2020-05-25 00:00:52,87.37516576
광주 남구,2020-05-25 00:00:52,85.86855399
광주 북구,2020-05-25 00:00:52,85.19053601
광산구,2020-05-25 00:00:52,80.91498311
대전 동구,2020-05-25 00:00:52,81.81493492
대전 중구,2020-05-25 00:00:52,80.14192309
대전 서구,2020-05-25 00:00:52,75.72504673
유성구,2020-05-25 00:00:52,76.15623282
대덕구,2020-05-25 00:00:52,76.68518404
울산 중구,2020-05-25 00:00:52,83.39486789
울산 남구,2020-05-25 00:00:52,77.52100336
울산 동구,2020-05-25 00:00:52,86.66868321
울산 북구,2020-05-25 00:00:52,82.05782553
울주군,2020-05-25 00:00:52,85.96723658
세종특별자치시,2020-05-25 00:00:52,69.01519276
수원시 장안구,2020-05-25 00:00:52,68.92880675
수원시 권선구,2020-05-25 00:00:52,68.84266851
수원시 팔달구,2020-05-25 00:00:52,73.20233801
수원시 영통구,2020-05-25 00:00:52,68.60826123
성남시 수정구,2020-05-25 00:00:52,76.83239942
성남시 중원구,2020-05-25 00:00:52,76.11011248
성남시 분당구,2020-05-25 00:00:52,76.37412898
의정부시,2020-05-25 00:00:52,67.24875373
안양시 만안구,2020-05-25 00:00:52,76.41961124
안양시 동안구,2020-05-25 00:00:52,70.72698937
부천시,2020-05-25 00:00:52,70.64457622
부천시 원미구,2020-05-25 00:00:52,
부천시 소사구,2020-05-25 00:00:52,
부천시 오정구,2020-05-25 00:00:52,
광명시,2020-05-25 00:00:52,73.58555896
평택시,2020-05-25 00:00:52,71.73094889
동두천시,2020-05-25 00:00:52,72.36279873
안산시 상록구,2020-05-25 00:00:52,71.60545663
안산시 단원구,2020-05-25 00:00:52,70.81135063
고양시 덕양구,2020-05-25 00:00:52,64.0897869
고양시 일산동구,2020-05-25 00:00:52,68.65355878
고양시 일산서구,2020-05-25 00:00:52,70.15890955
과천시,2020-05-25 00:00:52,83.4859704
구리시,2020-05-25 00:00:52,75.42141667
남양주시,2020-05-25 00:00:52,66.17979547
오산시,2020-05-25 00:00:52,64.03546622
시흥시,2020-05-25 00:00:52,66.72178541
군포시,2020-05-25 00:00:52,70.15209598
의왕시,2020-05-25 00:00:52,66.80702482
하남시,2020-05-25 00:00:52,78.12317619
용인시 처인구,2020-05-25 00:00:52,73.22551097
용인시 기흥구,2020-05-25 00:00:52,72.96812489
용인시 수지구,2020-05-25 00:00:52,73.94766908
